Frame Index,Inference Time (s),Device,Input Type
607,0.1914710999,cpu,image
608,0.1938419342,cpu,image
609,0.1730303764,cpu,image
610,0.1429207325,cpu,image
611,0.1755549908,cpu,image
612,0.1751177311,cpu,image
613,0.1915996075,cpu,image
614,0.1918199062,cpu,image
615,0.1738142967,cpu,image
616,0.175018549,cpu,image
617,0.1746754646,cpu,image
618,0.1752896309,cpu,image
619,0.1752309799,cpu,image
620,0.1908648014,cpu,image
621,0.1434290409,cpu,image
622,0.1756305695,cpu,image
623,0.1755042076,cpu,image
624,0.1755447388,cpu,image
625,0.1745121479,cpu,image
626,0.1760661602,cpu,image
627,0.1908798218,cpu,image
628,0.1743328571,cpu,image
629,0.1593761444,cpu,image
630,0.1748559475,cpu,image
631,0.1764190197,cpu,image
632,0.1469805241,cpu,image
633,0.1553177834,cpu,image
634,0.1733205318,cpu,image
635,0.1754374504,cpu,image
636,0.1750218868,cpu,image
637,0.174400568,cpu,image
638,0.1757183075,cpu,image
639,0.1773912907,cpu,image
640,0.1884980202,cpu,image
641,0.1734745502,cpu,image
642,0.174639225,cpu,image
643,0.1756062508,cpu,image
644,0.1748113632,cpu,image
645,0.1433470249,cpu,image
646,0.1745874882,cpu,image
647,0.1842494011,cpu,image
648,0.1641659737,cpu,image
649,0.1750819683,cpu,image
650,0.1746277809,cpu,image
651,0.1746237278,cpu,image
652,0.1742236614,cpu,image
653,0.1750586033,cpu,image
654,0.2062985897,cpu,image
655,0.1749174595,cpu,image
656,0.1904704571,cpu,image
657,0.1110584736,cpu,image
658,0.1749739647,cpu,image
659,0.1758394241,cpu,image
660,0.1914615631,cpu,image
661,0.1915714741,cpu,image
662,0.1595051289,cpu,image
663,0.1598820686,cpu,image
664,0.1752614975,cpu,image
665,0.1744511127,cpu,image
666,0.1751451492,cpu,image
667,0.2068333626,cpu,image
668,0.1744089127,cpu,image
669,0.1259198189,cpu,image
670,0.1745252609,cpu,image
671,0.1748888493,cpu,image
672,0.1744277477,cpu,image
673,0.1815283298,cpu,image
674,0.183450222,cpu,image
675,0.1738934517,cpu,image
676,0.1754915714,cpu,image
677,0.1748065948,cpu,image
678,0.1900155544,cpu,image
679,0.1751747131,cpu,image
680,0.1903977394,cpu,image
681,0.1598541737,cpu,image
682,0.1792662144,cpu,image
683,0.1710693836,cpu,image
684,0.174633503,cpu,image
685,0.1743607521,cpu,image
686,0.1903755665,cpu,image
687,0.2057390213,cpu,image
688,0.1750354767,cpu,image
689,0.2059485912,cpu,image
690,0.142475605,cpu,image
691,0.1914827824,cpu,image
692,0.172894001,cpu,image
693,0.2059643269,cpu,image
694,0.1754078865,cpu,image
695,0.1744718552,cpu,image
696,0.175232172,cpu,image
697,0.1757760048,cpu,image
698,0.1593158245,cpu,image
699,0.1741719246,cpu,image
700,0.1910977364,cpu,image
701,0.1761786938,cpu,image
702,0.1750349998,cpu,image
703,0.1749742031,cpu,image
704,0.1280224323,cpu,image
705,0.1744573116,cpu,image
706,0.19085145,cpu,image
707,0.175606966,cpu,image
708,0.1588931084,cpu,image
709,0.1751935482,cpu,image
710,0.1752376556,cpu,image
711,0.1752388477,cpu,image
712,0.1745560169,cpu,image
713,0.1926724911,cpu,image
714,0.1735303402,cpu,image
715,0.1935133934,cpu,image
716,0.1255195141,cpu,image
717,0.1742556095,cpu,image
718,0.1740794182,cpu,image
719,0.1899561882,cpu,image
720,0.1916160583,cpu,image
721,0.175096035,cpu,image
722,0.1743812561,cpu,image
723,0.1750607491,cpu,image
724,0.1745662689,cpu,image
725,0.1796929836,cpu,image
726,0.1874268055,cpu,image
727,0.1929023266,cpu,image
728,0.1063606739,cpu,image
729,0.1749155521,cpu,image
730,0.1742966175,cpu,image
731,0.1749453545,cpu,image
732,0.1757080555,cpu,image
733,0.1755828857,cpu,image
734,0.1746759415,cpu,image
735,0.1747694016,cpu,image
736,0.17531991,cpu,image
737,0.1753787994,cpu,image
738,0.1762826443,cpu,image
739,0.2066962719,cpu,image
740,0.1433227062,cpu,image
741,0.190464735,cpu,image
742,0.191173315,cpu,image
743,0.1754853725,cpu,image
744,0.1753096581,cpu,image
745,0.1917328835,cpu,image
746,0.1900098324,cpu,image
747,0.1434314251,cpu,image
748,0.1749839783,cpu,image
749,0.1751151085,cpu,image
750,0.1750218868,cpu,image
751,0.1903815269,cpu,image
752,0.1107983589,cpu,image
753,0.1904547215,cpu,image
754,0.1751561165,cpu,image
755,0.1748080254,cpu,image
756,0.1749753952,cpu,image
757,0.1750862598,cpu,image
758,0.1758520603,cpu,image
759,0.19034338,cpu,image
760,0.1754703522,cpu,image
761,0.1598491669,cpu,image
762,0.1758263111,cpu,image
763,0.1913836002,cpu,image
