Index,Start Time (s),End Time (s),Device,Input Type
186,11.532766819,11.5358116627,tpu,image
187,11.5358116627,11.5358116627,tpu,image
188,11.5358116627,11.5358116627,tpu,image
189,11.5358116627,11.5452234745,tpu,image
190,11.5452234745,11.5452234745,tpu,image
191,18.4131476879,18.4131476879,tpu,image
192,18.4131476879,18.4131476879,tpu,image
193,18.4131476879,18.4289159775,tpu,image
194,18.4289159775,18.4289159775,tpu,image
195,18.4289159775,18.4289159775,tpu,image
196,18.4289159775,18.4289159775,tpu,image
197,18.4289159775,18.4289159775,tpu,image
198,18.4447276592,18.4447276592,tpu,image
199,18.4447276592,18.4447276592,tpu,image
200,18.4447276592,18.4447276592,tpu,image
201,18.4447276592,18.4447276592,tpu,image
202,18.4447276592,18.4604246616,tpu,image
203,18.4604246616,18.4604246616,tpu,image
204,18.4604246616,18.4604246616,tpu,image
205,18.4604246616,18.4604246616,tpu,image
206,18.4604246616,18.4604246616,tpu,image
207,18.4763479233,18.4783694744,tpu,image
208,18.4783694744,18.4823958874,tpu,image
209,18.4823958874,18.484405756,tpu,image
210,18.4864161015,18.4884259701,tpu,image
211,18.4884259701,18.4921929836,tpu,image
212,18.4921929836,18.494204998,tpu,image
213,18.4962153435,18.4982259274,tpu,image
214,18.5002372265,18.5022475719,tpu,image
215,18.5022475719,18.5042569637,tpu,image
216,18.5062689781,18.5080230236,tpu,image
217,18.5100364685,18.5120460987,tpu,image
218,18.5120460987,18.5140564442,tpu,image
219,18.516067028,18.5180790424,tpu,image
220,18.5200939178,18.5221054554,tpu,image
221,18.5238633156,18.5258760452,tpu,image
222,18.5258760452,18.5298993587,tpu,image
223,18.5298993587,18.5319087505,tpu,image
224,18.5339186192,18.5359284878,tpu,image
225,18.5379447937,18.539699316,tpu,image
226,18.539699316,18.5437219143,tpu,image
227,18.5437219143,18.5457310677,tpu,image
228,18.5477414131,18.5497531891,tpu,image
229,18.5517656803,18.5537760258,tpu,image
230,18.5537760258,18.5575413704,tpu,image
231,18.5575413704,18.559551239,tpu,image
232,18.5615615845,18.5635704994,tpu,image
233,18.5635704994,18.5675983429,tpu,image
234,18.5675983429,18.5713615417,tpu,image
235,18.5713615417,18.573371172,tpu,image
236,18.5753822327,18.5773916245,tpu,image
237,18.5794067383,18.5814216137,tpu,image
238,18.5834407806,18.5854516029,tpu,image
239,18.5872085094,18.5872085094,tpu,image
240,18.5872085094,18.5872085094,tpu,image
241,18.5872085094,18.5872085094,tpu,image
242,18.5872085094,18.5872085094,tpu,image
243,18.5872085094,18.602976799,tpu,image
244,18.602976799,18.602976799,tpu,image
245,18.602976799,18.602976799,tpu,image
246,18.602976799,18.602976799,tpu,image
247,18.602976799,18.602976799,tpu,image
248,18.618720293,18.6207373142,tpu,image
249,18.6207373142,18.6247603893,tpu,image
250,18.6247603893,18.62677145,tpu,image
251,18.6287817955,18.630792141,tpu,image
252,18.6328039169,18.6345560551,tpu,image
253,18.6345560551,18.6385812759,tpu,image
254,18.6385812759,18.6405909061,tpu,image
255,18.6426050663,18.6446182728,tpu,image
256,18.6466290951,18.6486394405,tpu,image
257,18.650393486,18.650393486,tpu,image
258,18.650393486,18.650393486,tpu,image
259,18.650393486,18.650393486,tpu,image
260,18.650393486,18.650393486,tpu,image
261,18.650393486,18.6660737991,tpu,image
262,18.6660737991,18.6660737991,tpu,image
263,18.6660737991,18.6726098061,tpu,image
264,18.6726098061,18.6726098061,tpu,image
265,18.6726098061,18.6726098061,tpu,image
266,18.6726098061,18.6820523739,tpu,image
267,18.6820523739,18.6854381561,tpu,image
268,18.6854381561,18.6854381561,tpu,image
269,18.6854381561,18.6854381561,tpu,image
270,18.6854381561,18.6854381561,tpu,image
271,18.6854381561,18.6981828213,tpu,image
272,18.6981828213,18.6981828213,tpu,image
273,18.6981828213,18.6981828213,tpu,image
274,18.6981828213,18.6981828213,tpu,image
275,18.6981828213,18.6981828213,tpu,image
276,18.6981828213,18.7141752243,tpu,image
277,18.7141752243,18.7176861763,tpu,image
278,18.7176861763,18.7176861763,tpu,image
279,18.7176861763,18.7244024277,tpu,image
280,18.7244024277,18.7278192043,tpu,image
281,18.7278192043,18.7298355103,tpu,image
282,18.7318587303,18.7318587303,tpu,image
283,18.7318587303,18.7381579876,tpu,image
284,18.7381579876,18.7381579876,tpu,image
285,18.7381579876,18.7446570396,tpu,image
286,18.7456834316,18.7476942539,tpu,image
287,18.7476942539,18.7476942539,tpu,image
288,18.7476942539,18.7476942539,tpu,image
289,18.7476942539,18.7579658031,tpu,image
290,18.7579658031,18.7616312504,tpu,image
291,18.7616312504,18.7616312504,tpu,image
292,18.7616312504,18.7616312504,tpu,image
293,18.7616312504,18.7616312504,tpu,image
294,18.7616312504,18.7744865417,tpu,image
